contentID,URL,headline,author,cmsCategories,nl_category_structured,nl_category,,,,705
www.arkansasonline.com/news/2018/aug/21/police-identify-mother-found-dead-arkansas-highway/,https://www.arkansasonline.com/news/2018/aug/21/police-identify-mother-found-dead-arkansas-highway/,Police identify mother found dead off Arkansas highway; toddler sons safe after crash,Brandon Riddle,"/News, /News/Arkansas, /News/Fatalwrecks",,,,,,
www.arkansasonline.com/news/2018/aug/21/michael-cohen-trumps-former-personal-attorney-reac/,https://www.arkansasonline.com/news/2018/aug/21/michael-cohen-trumps-former-personal-attorney-reac/,"Cohen pleads guilty, says hush money paid to influence election",The Associated Press   ,/News/National,,,,,,
www.arkansasonline.com/news/2018/aug/21/little-rock-baby-store-pickles-ice-cream-close-aft/,https://www.arkansasonline.com/news/2018/aug/21/little-rock-baby-store-pickles-ice-cream-close-aft/,"Little Rock baby store to close after nearly 30 years in business, owner says",Jaime Dunaway,"None/Lr, /News, /News/Arkansas, /News/Arkansas/Central","/People & Society/Family & Relationships/Family, /Home & Garden","/People & Society/Family & Relationships/Family, /Home & Garden",,,,
www.arkansasonline.com/news/2018/aug/21/trial-begins-little-rock-man-accused-killing-boy-3/,https://www.arkansasonline.com/news/2018/aug/21/trial-begins-little-rock-man-accused-killing-boy-3/,"Closing arguments set in trial of Little Rock man accused of killing boy, 3, in road-rage shooting",John Lynch,"/News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/aug/27/with-moderate-expectations-can-morris-h/,https://www.arkansasonline.com/news/2018/aug/27/with-moderate-expectations-can-morris-h/,"With moderate expectations, can Morris' Hogs surprise?",,"/Sports, /Sports/College/Razorbacks/Razobacks-College-Football, /Sports/College/Razorbacks/Razobacks-College-Latest, /Sports/Columnists/Hog-Calls",,,,,,
www.arkansasonline.com/news/2018/aug/26/razorbacks-place-3-scholarship/,https://www.arkansasonline.com/news/2018/aug/26/razorbacks-place-3-scholarship/,Razorbacks place 3 on scholarship,Tom Murphy,"/Sports/College/Razorbacks/Razobacks-College-Football, /Sports/College/Razorbacks/Razobacks-College-Latest",,,,,,
www.arkansasonline.com/news/2018/sep/23/tiger-woods-caps-amazing-comeback-win/,https://www.arkansasonline.com/news/2018/sep/23/tiger-woods-caps-amazing-comeback-win/,Tiger Woods caps off amazing comeback with a win,The Associated Press,/Sports/Pros/Golf,,,,,,
www.arkansasonline.com/news/2018/sep/23/thursday-hearing-kavanaugh-accuser-stuck-last-deta/,https://www.arkansasonline.com/news/2018/sep/23/thursday-hearing-kavanaugh-accuser-stuck-last-deta/,"Kavanaugh, Ford will testify in open hearing Thursday",The Associated Press,/News/Politics,,,,,,
www.arkansasonline.com/news/2018/sep/05/latest-liberals-urge-democrats-unify-against-kavan/,https://www.arkansasonline.com/news/2018/sep/05/latest-liberals-urge-democrats-unify-against-kavan/,LATEST: Demonstrators disrupt day 2 of Kavanaugh hearing,The Associated Press   ,/News/National,,,,,,
www.arkansasonline.com/news/2018/sep/24/child-s-gun-death-called-accidental-201/,https://www.arkansasonline.com/news/2018/sep/24/child-s-gun-death-called-accidental-201/,Child's gun death at Little Rock home called accidental,Arkansas Democrat-Gazette,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/sep/23/hollywood-hair-is-wig-guru-s-flair-2018/,https://www.arkansasonline.com/news/2018/sep/23/hollywood-hair-is-wig-guru-s-flair-2018/,Hollywood hair is wig guru's flair,Jennifer Christman,"/News/Arkansas, /News/Arkansas/Columnists",/Arts & Entertainment,/Arts & Entertainment,,,,
www.arkansasonline.com/news/2018/sep/21/arkansas-woman-accused-starving-3-dogs-death-gets-/,https://www.arkansasonline.com/news/2018/sep/21/arkansas-woman-accused-starving-3-dogs-death-gets-/,Arkansas woman accused of starving 3 dogs to death gets probation; 1 animal found in taped-shut container,LYNN LaROWE / Texarkana Gazette,"/News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/jul/31/facebook-finds-sophisticated-efforts-disrupt-elect/,https://www.arkansasonline.com/news/2018/jul/31/facebook-finds-sophisticated-efforts-disrupt-elect/,Facebook finds 'sophisticated' efforts to disrupt elections,The Associated Press ,"/Business/National, /News/National",,,,,,
www.arkansasonline.com/news/2018/aug/26/alison-miller-melson-20180826/,https://www.arkansasonline.com/news/2018/aug/26/alison-miller-melson-20180826/,HIGH PROFILE: Entergy communications manager Alison Miller Melson,Seth Blomeley,"/Entertainment/Features/Highprofile, ",/News,/News,,,,
www.arkansasonline.com/news/2018/sep/23/arkansan-still-in-prison-in-qatar-convi/,https://www.arkansasonline.com/news/2018/sep/23/arkansan-still-in-prison-in-qatar-convi/,Arkansan geophysicist still serving life sentence in Middle East prison after being convicted as spy,Rick Gladstone The New York Times,"/News/Arkansas, /News/World",/Law & Government/Public Safety/Crime & Justice,/Law & Government/Public Safety/Crime & Justice,,,,
www.arkansasonline.com/news/2018/aug/30/trump-cancels-pay-raise-due-federal-workers-januar/,https://www.arkansasonline.com/news/2018/aug/30/trump-cancels-pay-raise-due-federal-workers-januar/,Trump cancels pay raise due to federal workers in January,The Associated Press ,"/News/National, /News/Politics/National",,,,,,
